country_cd,timezone,robotid
SE,Europe/Stockholm,T29NF13ZIYISNF79
JP,Asia/Tokyo,9S12V26O6G426OYR
IL,Asia/Jerusalem,QI6X3P9JKNILKKU1
IL,Asia/Jerusalem,7OMKNWMWA4XWC911
IL,Asia/Jerusalem,YO63CL0ZFK83SYCZ
DK,Europe/Copenhagen,Y22RZBDPEXT64LWL
IL,Asia/Jerusalem,M8B8VIPZDDDWLJ3D
IL,Asia/Jerusalem,9C4NPS3Q3N253PIY
IL,Asia/Jerusalem,TMMI6I31JH1FLJLG
JP,Asia/Tokyo,CSDOPIZNFG5QX3BE
IL,Asia/Jerusalem,F9HHBOKJER95ZQ8V
IL,Asia/Jerusalem,2U2WRCRXZVWKAJE7
IL,Asia/Jerusalem,JAKND5J9CWF9TG58
IL,Asia/Jerusalem,ER3ZD9ZBIDY1KZG2
IL,Asia/Jerusalem,AY6PAOUGFQT5X6U6
IL,Asia/Jerusalem,T9LW1SQH6K12PZJQ
IL,Asia/Jerusalem,0OYHPX7VE4FJI9J8
IL,Asia/Jerusalem,DA5UQG85EEKEW2DF
IL,Asia/Jerusalem,YCY4VCVLP0Y2DCAK
IL,Asia/Jerusalem,3IGSLCS6WRGF89W6
IL,Asia/Jerusalem,W6SNHC12JV10VAXD
FR,Europe/Paris,HO09GLJN3AQB8LBQ
ES,Europe/Madrid,PFAV1EOCTKVQPWZR
IL,Asia/Jerusalem,G19BX5JD1TYPB4H0
IL,Asia/Jerusalem,3DWD069T8N2224MW
AT,Europe/Vienna,ZF0UQ3IILJD7KTJZ
IL,Asia/Jerusalem,8F5F4FA6BWXAGDOU
IL,Asia/Jerusalem,LICJQ4EF89UNGYJF
IL,Asia/Jerusalem,27384GNFOV8CZDE2
SE,Europe/Stockholm,22XVFN8N6DTE1EI8
BE,Europe/Brussels,XUEI5HIIEYZ9QRMY
IL,Asia/Jerusalem,XZKEP8JMMTYTBYMV
IL,Asia/Jerusalem,SZLH1B0I7XRB0IMI
IL,Asia/Jerusalem,H2P8E6KN6TTAYG46
IL,Asia/Jerusalem,4IFKOR7LJEU58I7G
IL,Asia/Jerusalem,V434EDLAQ8T2BA8U
IL,Asia/Jerusalem,K5K15B4P76Q7K4LU
IL,Asia/Jerusalem,28IFQPG0UBO961S3
KH,Asia/Phnom_Penh,KFK4L517RE2IDVPY
IL,Asia/Jerusalem,N5OZXAYL5K99CGYT
IL,Asia/Jerusalem,HRBM82PVLMTLS9AW
DE,Europe/Berlin,HMY9O418TSHJ260V
FR,Europe/Paris,GD6SHZ5AY15IMQKR
IL,Asia/Jerusalem,9OY77U5FNKSFB12K
IL,Asia/Jerusalem,CSYYOKT3X305NA5G
AU,Australia/Perth,76M50WLLOTXLYFLX
IL,Asia/Jerusalem,OWTICIQZ4EOFR2OL
IL,Asia/Jerusalem,9S3JHE1NWWI5WKW4
IL,Asia/Jerusalem,0Y388W355V4RCQNO
IL,Asia/Jerusalem,B5MMUGEAC6S41B2A
IL,Asia/Jerusalem,GHC7UKX2I50DYK8A
FR,Europe/Paris,DN9A4MZANMC9DFR7
HR,Europe/Zagreb,B1I7XK7G7C96G5VX
JP,Asia/Tokyo,ESUDPL5RI4NDCDZ2
IL,Asia/Jerusalem,82KQQVRGXO5JIDA2
IL,Asia/Jerusalem,A05Q801ELJ397U3Y
IL,Asia/Jerusalem,1I139R90AOHSFUBT
IL,Asia/Jerusalem,SHQVEWCZ142E9I5E
IL,Asia/Jerusalem,TTR8T0IRZ8V0QAEU
IL,Asia/Jerusalem,MF44JJS2NOELN6U6
IL,Asia/Jerusalem,27BR9ENHI69EIJRX
IL,Asia/Jerusalem,GF9YH8P6M46HQRL5
IL,Asia/Jerusalem,6MXCBIAON460YVL7
IL,Asia/Jerusalem,FHJP5VOQTJT25QHU
US,America/New_York,7HSI4TZERJ9BHX1Z
